,Date,Open,High,Low,Close,Volume
1257,2005-01-03,2080.0,2118.6,2080.0,2115.0,70506865.0
1258,2005-01-04,2116.95,2120.15,2100.55,2103.75,72718302.0
1259,2005-01-05,2103.75,2105.1,1990.15,2032.2,109223487.0
1260,2005-01-06,2031.55,2035.65,1984.25,1998.35,94321939.0
1261,2005-01-07,1998.25,2021.45,1992.55,2015.5,76285818.0
1262,2005-01-10,2016.75,2025.9,1974.8,1982.0,75659206.0
1263,2005-01-11,1982.7,1988.9,1947.35,1952.05,70270295.0
1264,2005-01-12,1953.6,1966.65,1900.85,1913.6,85040272.0
1265,2005-01-13,1922.5,1963.4,1916.95,1954.55,80904072.0
1266,2005-01-14,1954.9,1961.4,1922.85,1931.1,86211083.0
1267,2005-01-17,1931.75,1944.55,1902.45,1932.9,82253062.0
1268,2005-01-18,1933.05,1956.95,1925.35,1934.05,91873146.0
1269,2005-01-19,1934.1,1945.65,1922.35,1926.65,94221284.0
1270,2005-01-20,1928.1,1940.95,1900.05,1925.3,96601275.0
1271,2005-01-24,1925.3,1932.75,1902.9,1909.0,74819372.0
1272,2005-01-25,1908.85,1934.25,1894.4,1931.85,88566262.0
1273,2005-01-27,1931.9,1961.75,1929.0,1955.0,135722670.0
1274,2005-01-28,1955.25,2014.25,1950.85,2008.3,106730397.0
1275,2005-01-31,2008.45,2060.4,2006.35,2057.6,137984563.0
1276,2005-02-01,2057.75,2072.5,2045.25,2059.85,135567534.0
1277,2005-02-02,2062.15,2074.5,2045.5,2052.25,89992221.0
1278,2005-02-03,2052.35,2083.75,2052.35,2079.45,78096873.0
1279,2005-02-04,2079.4,2099.2,2060.8,2077.95,79164167.0
1280,2005-02-07,2097.45,2098.0,2049.85,2055.1,62127314.0
1281,2005-02-08,2055.0,2065.0,2043.6,2055.15,74190476.0
1282,2005-02-09,2055.2,2077.7,2055.2,2070.0,68237793.0
1283,2005-02-10,2070.1,2075.1,2049.85,2063.35,69893469.0
1284,2005-02-11,2063.35,2084.5,2063.35,2082.05,84987297.0
1285,2005-02-14,2083.05,2110.15,2083.05,2098.25,86445194.0
1286,2005-02-15,2098.25,2101.6,2081.2,2089.95,60938189.0
1287,2005-02-16,2090.0,2103.4,2059.45,2068.8,68533655.0
1288,2005-02-17,2069.1,2069.15,2045.85,2061.9,63853254.0
1289,2005-02-18,2062.45,2076.7,2048.85,2055.55,63673961.0
1290,2005-02-21,2055.15,2065.75,2039.9,2043.2,46917742.0
1291,2005-02-22,2043.4,2061.65,2036.6,2058.4,51898487.0
1292,2005-02-23,2058.7,2065.15,2051.35,2057.1,52493127.0
1293,2005-02-24,2057.75,2070.5,2052.4,2055.3,76500198.0
1294,2005-02-25,2057.3,2081.85,2051.2,2060.9,66309002.0
1295,2005-02-28,2061.2,2106.2,2047.7,2103.25,103139340.0
1296,2005-03-01,2103.1,2115.1,2073.8,2084.4,71289743.0
1297,2005-03-02,2084.6,2096.35,2080.55,2093.25,78599088.0
1298,2005-03-03,2093.4,2132.75,2093.35,2128.85,84295271.0
1299,2005-03-04,2129.1,2152.75,2129.1,2148.15,78283092.0
1300,2005-03-07,2148.25,2166.85,2143.05,2160.1,86791264.0
1301,2005-03-08,2160.65,2173.85,2154.0,2168.95,78378567.0
1302,2005-03-09,2169.1,2183.45,2141.35,2160.8,81074126.0
1303,2005-03-10,2160.85,2170.2,2145.75,2167.4,61889887.0
1304,2005-03-11,2167.7,2182.1,2148.7,2154.0,70474058.0
1305,2005-03-14,2153.8,2164.15,2140.9,2146.35,73875042.0
1306,2005-03-15,2146.55,2151.35,2122.0,2128.95,60049989.0
1307,2005-03-16,2129.35,2158.9,2121.1,2125.55,75512834.0
