,Date,Open,High,Low,Close,Adj Close,Volume
930,2008-10-16,9400.849609,9400.849609,8458.450195,8458.450195,8458.450195,186200.0
931,2008-10-17,8579.570313,8763.709961,8539.509766,8693.820313,8693.820313,171500.0
932,2008-10-20,8775.240234,9038.450195,8687.700195,9005.589844,9005.589844,165600.0
933,2008-10-21,9139.259766,9358.509766,9135.410156,9306.25,9306.25,154800.0
934,2008-10-22,9198.139648,9198.139648,8674.69043,8674.69043,8674.69043,160500.0
935,2008-10-23,8547.790039,8547.790039,8016.609863,8460.980469,8460.980469,216800.0
936,2008-10-24,8391.040039,8391.040039,7647.069823999999,7649.080078,7649.080078,194700.0
937,2008-10-27,7568.359863,7878.970215,7141.27002,7162.899901999999,7162.899901999999,237400.0
938,2008-10-28,7143.339844,7626.419922,6994.899901999999,7621.919922,7621.919922,240700.0
939,2008-10-29,7741.52002,8211.900391,7741.52002,8211.900391,8211.900391,222900.0
940,2008-10-30,8269.709961,9030.849609,8269.709961,9029.759766,9029.759766,220600.0
941,2008-10-31,8958.219727,9012.30957,8576.980469,8576.980469,8576.980469,206000.0
942,2008-11-04,8702.769531,9142.290039,8699.769531,9114.599609,9114.599609,164800.0
943,2008-11-05,9224.049805,9521.240234,9216.299805,9521.240234,9521.240234,208600.0
944,2008-11-06,9373.650391,9380.299805,8806.709961,8899.139648,8899.139648,176000.0
945,2008-11-07,8774.490234,8868.099609,8266.089844,8583.0,8583.0,206300.0
946,2008-11-10,8711.990234,9106.290039,8711.990234,9081.429688,9081.429688,155400.0
947,2008-11-11,8965.290039,9056.30957,8704.55957,8809.299805,8809.299805,153800.0
948,2008-11-12,8694.910156,8782.480469,8574.200195,8695.509766,8695.509766,153700.0
949,2008-11-13,8564.469727,8564.469727,8148.299805,8238.639648,8238.639648,166600.0
950,2008-11-14,8378.129883,8689.849609,8378.129883,8462.389648,8462.389648,155600.0
951,2008-11-17,8366.879883,8767.980469,8218.820313,8522.580078,8522.580078,146000.0
952,2008-11-18,8415.599609,8440.410156,8302.240234,8328.410156,8328.410156,144200.0
953,2008-11-19,8309.349609,8370.089844,8115.709961,8273.219727,8273.219727,143900.0
954,2008-11-20,8149.77002,8149.790039,7703.040039,7703.040039,7703.040039,154300.0
955,2008-11-21,7600.350098000001,7994.680176000001,7406.180176000001,7910.790039,7910.790039,185200.0
956,2008-11-25,8026.060059,8356.830078,8025.689941,8323.929688,8323.929688,155000.0
957,2008-11-26,8229.719727,8317.830078,8149.560059,8213.219727,8213.219727,118900.0
958,2008-11-27,8311.240234,8458.679688,8300.490234,8373.389648,8373.389648,116600.0
959,2008-11-28,8400.049805,8518.129883,8336.570313,8512.269531,8512.269531,145300.0
960,2008-12-01,8464.360352,8464.360352,8307.280273,8397.219727,8397.219727,106900.0
961,2008-12-02,8266.320313,8266.320313,7863.689941,7863.689941,7863.689941,136000.0
962,2008-12-03,7965.310059,8056.379883,7889.819823999999,8004.100098000001,8004.100098000001,121200.0
963,2008-12-04,8030.200195,8107.689941,7849.839844,7924.240234000001,7924.240234000001,147900.0
964,2008-12-05,7975.049805,8024.330078,7908.649901999999,7917.509765999999,7917.509765999999,139400.0
965,2008-12-08,7970.689941,8358.269531,7959.009765999999,8329.049805,8329.049805,138900.0
966,2008-12-09,8362.370117,8499.599609,8314.849609,8395.870117,8395.870117,150800.0
967,2008-12-10,8376.0,8704.919922,8376.0,8660.240234,8660.240234,155700.0
968,2008-12-11,8642.259766,8720.549805,8519.110352,8720.549805,8720.549805,162100.0
969,2008-12-12,8599.120117,8610.730469,8087.990234000001,8235.870117,8235.870117,226600.0
970,2008-12-15,8349.849609,8700.169922,8349.849609,8664.660156,8664.660156,129300.0
971,2008-12-16,8608.400391,8634.259766,8471.240234,8568.019531,8568.019531,132100.0
972,2008-12-17,8658.219727,8741.240234,8425.660156,8612.519531,8612.519531,148400.0
973,2008-12-18,8565.160156,8728.360352,8534.839844,8667.230469,8667.230469,138900.0
974,2008-12-19,8640.219727,8743.219727,8570.55957,8588.519531,8588.519531,138000.0
975,2008-12-22,8602.5,8751.179688,8593.759766,8723.780273,8723.780273,109800.0
976,2008-12-24,8630.25,8631.830078,8476.69043,8517.099609,8517.099609,100800.0
977,2008-12-25,8531.509766,8599.5,8531.160156,8599.5,8599.5,61200.0
978,2008-12-26,8642.139648,8740.759766,8611.360352,8739.519531,8739.519531,75800.0
979,2008-12-29,8726.30957,8763.669922,8638.599609,8747.169922,8747.169922,83200.0
980,2009-01-05,8991.209961,9127.379883,8987.360352,9043.120117,9043.120117,84900.0
981,2009-01-06,9130.009766,9171.030273,9029.94043,9080.839844,9080.839844,154800.0
982,2009-01-07,9133.799805,9325.349609,9106.049805,9239.240234,9239.240234,205600.0
983,2009-01-08,9143.209961,9148.830078,8876.419922,8876.419922,8876.419922,149900.0
984,2009-01-09,8932.709961,8956.849609,8773.200195,8836.799805,8836.799805,137000.0
985,2009-01-13,8732.629883,8732.929688,8405.5,8413.910156,8413.910156,135600.0
986,2009-01-14,8425.75,8516.070313,8359.160156,8438.450195,8438.450195,132700.0
987,2009-01-15,8309.379883,8309.379883,7997.72998,8023.310059,8023.310059,158300.0
988,2009-01-16,8125.200195,8283.910156,8067.470215,8230.150391,8230.150391,140600.0
989,2009-01-19,8318.259766,8351.679688,8221.839844,8256.849609,8256.849609,102600.0
990,2009-01-20,8187.140137,8190.419922,7962.459961,8065.790039,8065.790039,127900.0
991,2009-01-21,7949.959961,8009.220215,7829.299805,7901.640137,7901.640137,147100.0
992,2009-01-22,7988.299805,8051.740234000001,7809.890137,8051.740234000001,8051.740234000001,142600.0
993,2009-01-23,7965.410156,7965.410156,7745.25,7745.25,7745.25,119800.0
994,2009-01-26,7714.259765999999,7807.160156,7671.040039,7682.140137,7682.140137,115000.0
995,2009-01-27,7782.899901999999,8115.149901999999,7782.069823999999,8061.069823999999,8061.069823999999,152500.0
996,2009-01-28,8052.25,8171.629883,7936.589844,8106.290039,8106.290039,140000.0
997,2009-01-29,8201.160156,8305.379883,8138.990234000001,8251.240234,8251.240234,160300.0
998,2009-01-30,8142.879883,8142.879883,7922.390137,7994.049805,7994.049805,148000.0
999,2009-02-02,7908.509765999999,7955.75,7795.27002,7873.97998,7873.97998,159700.0
1000,2009-02-03,7862.950195,8084.410156,7800.799805,7825.509765999999,7825.509765999999,181500.0
1001,2009-02-04,7897.240234000001,8084.970215,7863.649901999999,8038.939941,8038.939941,156800.0
1002,2009-02-05,7985.529785,8093.959961,7901.040039,7949.649901999999,7949.649901999999,169500.0
1003,2009-02-06,8054.27002,8169.040039,8033.240234000001,8076.620117,8076.620117,147300.0
1004,2009-02-09,8178.069823999999,8257.709961,7969.029785,7969.029785,7969.029785,140500.0
1005,2009-02-10,8066.939941,8124.790039,7917.27002,7945.939941,7945.939941,138600.0
1006,2009-02-12,7842.529785,7862.52002,7685.680176000001,7705.359863,7705.359863,145900.0
1007,2009-02-13,7789.350098000001,7887.740234000001,7730.27002,7779.399901999999,7779.399901999999,149700.0
1008,2009-02-16,7732.680176000001,7804.240234000001,7694.72998,7750.169922,7750.169922,110600.0
1009,2009-02-17,7690.129883,7710.430176000001,7615.939941,7645.509765999999,7645.509765999999,120800.0
1010,2009-02-18,7539.959961,7565.790039,7479.180176000001,7534.439941,7534.439941,149400.0
1011,2009-02-19,7604.220215,7642.689941,7537.560059,7557.649901999999,7557.649901999999,138200.0
1012,2009-02-20,7544.069823999999,7554.700195,7382.330078,7416.379883,7416.379883,140800.0
1013,2009-02-23,7314.299805,7417.180176000001,7209.430176000001,7376.160156,7376.160156,164300.0
1014,2009-02-24,7266.680176000001,7270.899901999999,7155.160156,7268.560059,7268.560059,146800.0
1015,2009-02-25,7368.439941,7471.029785,7330.439941,7461.220215,7461.220215,165300.0
1016,2009-02-26,7470.600098000001,7599.810059,7433.060059,7457.930176000001,7457.930176000001,143100.0
1017,2009-02-27,7463.419922,7589.77002,7414.399901999999,7568.419922,7568.419922,140700.0
1018,2009-03-02,7454.279785,7454.279785,7234.959961,7280.149901999999,7280.149901999999,125400.0
1019,2009-03-03,7177.790039,7288.140137,7088.470215,7229.720215,7229.720215,146700.0
1020,2009-03-04,7146.709961,7320.649901999999,7104.629883,7290.959961,7290.959961,159900.0
1021,2009-03-05,7336.02002,7532.870117,7336.02002,7433.490234000001,7433.490234000001,185400.0
1022,2009-03-06,7328.290039,7328.290039,7167.069823999999,7173.100098000001,7173.100098000001,159500.0
1023,2009-03-09,7191.129883,7241.02002,7028.490234000001,7086.029785,7086.029785,132800.0
1024,2009-03-10,7059.77002,7100.77002,7021.279785,7054.97998,7054.97998,133000.0
1025,2009-03-11,7165.390137,7393.810059,7161.850098000001,7376.120117,7376.120117,155800.0
1026,2009-03-12,7320.450195,7345.02002,7198.25,7198.25,7198.25,153200.0
1027,2009-03-13,7301.120117,7571.450195,7300.870117,7569.279785,7569.279785,217000.0
1028,2009-03-16,7630.200195,7754.75,7630.200195,7704.149901999999,7704.149901999999,150500.0
1029,2009-03-17,7767.339844,7967.029785,7723.939941,7949.129883,7949.129883,171400.0
1030,2009-03-18,8006.859863,8054.350098000001,7895.279785,7972.169922,7972.169922,176800.0
1031,2009-03-19,8017.930176000001,8034.089844,7902.490234000001,7945.959961,7945.959961,138000.0
1032,2009-03-23,7943.140137,8229.129883,7922.549805,8215.530273,8215.530273,178400.0
1033,2009-03-24,8334.679688,8504.410156,8297.269531,8488.299805,8488.299805,195000.0
1034,2009-03-25,8499.69043,8553.009766,8392.55957,8479.990234,8479.990234,162000.0
1035,2009-03-26,8430.219727,8640.280273,8383.990234,8636.330078,8636.330078,135200.0
1036,2009-03-27,8711.719727,8843.179688,8626.969727,8626.969727,8626.969727,157900.0
1037,2009-03-30,8621.849609,8651.05957,8236.080078,8236.080078,8236.080078,164200.0
1038,2009-03-31,8199.429688,8383.740234,8088.450195,8109.529785,8109.529785,178800.0
1039,2009-04-01,8173.359863,8351.910156,8084.620117,8351.910156,8351.910156,157000.0
1040,2009-04-02,8453.730469,8741.669922,8449.870117,8719.780273,8719.780273,212900.0
1041,2009-04-03,8814.099609,8884.629883,8697.169922,8749.839844,8749.839844,217500.0
1042,2009-04-06,8856.839844,8992.05957,8812.360352,8857.929688,8857.929688,173500.0
1043,2009-04-07,8838.660156,8884.450195,8778.919922,8832.849609,8832.849609,150600.0
1044,2009-04-08,8746.730469,8765.639648,8556.75,8595.009766,8595.009766,167900.0
1045,2009-04-09,8665.160156,8920.860352,8664.259766,8916.05957,8916.05957,192000.0
1046,2009-04-10,9041.230469,9068.799805,8856.69043,8964.110352,8964.110352,228700.0
1047,2009-04-13,8930.349609,9024.450195,8888.099609,8924.429688,8924.429688,167500.0
1048,2009-04-14,8955.900391,8961.730469,8749.919922,8842.679688,8842.679688,181800.0
1049,2009-04-15,8777.679688,8800.519531,8681.030273,8742.959961,8742.959961,158400.0
1050,2009-04-16,8848.429688,9030.0,8720.620117,8755.259766,8755.259766,172900.0
1051,2009-04-17,8854.330078,8953.339844,8834.629883,8907.580078,8907.580078,184300.0
